getAllFieldsForSObject.cls

================================

//for the Account object, you can replact that with any object you have, standard or custom
Schema.DescribeSObjectResult a_desc = Account.sObjectType.getDescribe(); 
Map<String, Schema.SObjectField> a_fields = a_desc.fields.getMap();

for(Schema.sObjectField fld:a_fields.values()){ 
     System.debug(fld);
}


================================

31.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,INFO;DB,INFO;VALIDATION,INFO;WORKFLOW,INFO
Execute Anonymous: //for the Account object, you can replact that with any object you have, standard or custom
Execute Anonymous: Schema.DescribeSObjectResult a_desc = Account.sObjectType.getDescribe(); 
Execute Anonymous: Map<String, Schema.SObjectField> a_fields = a_desc.fields.getMap();
Execute Anonymous: 
Execute Anonymous: for(Schema.sObjectField fld:a_fields.values()){ 
Execute Anonymous:      System.debug(fld);
Execute Anonymous: }
13:58:10.070 (70652682)|USER_DEBUG|[6]|DEBUG|Phone
13:58:10.070 (70700029)|USER_DEBUG|[6]|DEBUG|Largest_Combined_Credit_Amount__c
13:58:10.070 (70751310)|USER_DEBUG|[6]|DEBUG|Mailing_Address_Type__c
13:58:10.070 (70800435)|USER_DEBUG|[6]|DEBUG|Largest_Household_Gift_Date__c
13:58:10.070 (70847108)|USER_DEBUG|[6]|DEBUG|Type
13:58:10.070 (70893847)|USER_DEBUG|[6]|DEBUG|Funding_Cycle__c
13:58:10.070 (70941552)|USER_DEBUG|[6]|DEBUG|LastActivityDate
13:58:10.070 (70988186)|USER_DEBUG|[6]|DEBUG|External_ID__c
13:58:10.071 (71034294)|USER_DEBUG|[6]|DEBUG|Household_Soft_Credit__c
13:58:10.071 (71085314)|USER_DEBUG|[6]|DEBUG|Description
13:58:10.071 (71140114)|USER_DEBUG|[6]|DEBUG|Primary_Contact__c
13:58:10.071 (71190187)|USER_DEBUG|[6]|DEBUG|Lifetime_Donation_Count__c
13:58:10.071 (71237983)|USER_DEBUG|[6]|DEBUG|Salutation__c
13:58:10.071 (71284608)|USER_DEBUG|[6]|DEBUG|Fax
13:58:10.071 (71330998)|USER_DEBUG|[6]|DEBUG|TickerSymbol
13:58:10.071 (71374386)|USER_DEBUG|[6]|DEBUG|ShippingCity
13:58:10.071 (71416632)|USER_DEBUG|[6]|DEBUG|BillingPostalCode
13:58:10.071 (71458379)|USER_DEBUG|[6]|DEBUG|ShippingState
13:58:10.071 (71503434)|USER_DEBUG|[6]|DEBUG|JigsawCompanyId
13:58:10.071 (71550726)|USER_DEBUG|[6]|DEBUG|Address_Correction_Status__c
13:58:10.071 (71597573)|USER_DEBUG|[6]|DEBUG|Largest_Soft_Credit_Date__c
13:58:10.071 (71644663)|USER_DEBUG|[6]|DEBUG|Last_Year_Soft_Credit_Amount__c
13:58:10.071 (71692056)|USER_DEBUG|[6]|DEBUG|Account_Record_ID__c
13:58:10.071 (71742138)|USER_DEBUG|[6]|DEBUG|First_Soft_Credit_Amount__c
13:58:10.071 (71791690)|USER_DEBUG|[6]|DEBUG|Accepts_Unsolicited_Proposals__c
13:58:10.071 (71839422)|USER_DEBUG|[6]|DEBUG|SicDesc
13:58:10.071 (71885741)|USER_DEBUG|[6]|DEBUG|AccountSource
13:58:10.071 (71929043)|USER_DEBUG|[6]|DEBUG|BillingCountry
13:58:10.071 (71974659)|USER_DEBUG|[6]|DEBUG|Last_Year_Soft_Credit_Count__c
13:58:10.072 (72021926)|USER_DEBUG|[6]|DEBUG|Last_Soft_Credit_Date__c
13:58:10.072 (72069212)|USER_DEBUG|[6]|DEBUG|Last_Soft_Credit_Amount__c
13:58:10.072 (72115454)|USER_DEBUG|[6]|DEBUG|LastModifiedDate
13:58:10.072 (72161500)|USER_DEBUG|[6]|DEBUG|Id
13:58:10.072 (72207805)|USER_DEBUG|[6]|DEBUG|LastReferencedDate
13:58:10.072 (72254585)|USER_DEBUG|[6]|DEBUG|First_Combined_Credit_Date__c
13:58:10.072 (72301906)|USER_DEBUG|[6]|DEBUG|Last_Combined_Credit_Amount__c
13:58:10.072 (72349683)|USER_DEBUG|[6]|DEBUG|Name
13:58:10.072 (72396610)|USER_DEBUG|[6]|DEBUG|YTD_Transaction_Count__c
13:58:10.072 (72443685)|USER_DEBUG|[6]|DEBUG|Anonymous__c
13:58:10.072 (72490211)|USER_DEBUG|[6]|DEBUG|AccountNumber
13:58:10.072 (72536707)|USER_DEBUG|[6]|DEBUG|Salutation_Casual__c
13:58:10.072 (72591697)|USER_DEBUG|[6]|DEBUG|Contact__c
13:58:10.072 (72642472)|USER_DEBUG|[6]|DEBUG|YTD_Donation_Amount__c
13:58:10.072 (72689614)|USER_DEBUG|[6]|DEBUG|Website
13:58:10.072 (72733063)|USER_DEBUG|[6]|DEBUG|ShippingLongitude
13:58:10.072 (72784678)|USER_DEBUG|[6]|DEBUG|MasterRecordId
